Filename,Date,Time,Species,Length (s),Sample Rate (Hz),Max Amp.
202252-18-31_Aphidoletes_aphidimyza_000000_s1_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,4.406852
202252-18-31_Aphidoletes_aphidimyza_000000_s2_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.00903554
202252-18-31_Aphidoletes_aphidimyza_000000_s3_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.009921047
202252-18-31_Aphidoletes_aphidimyza_000000_s4_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.010073425
202252-18-31_Aphidoletes_aphidimyza_000000_s5_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.008783695
202252-18-31_Aphidoletes_aphidimyza_000000_s6_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.01752473
202252-18-31_Aphidoletes_aphidimyza_000000_s7_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.031298872
202252-18-31_Aphidoletes_aphidimyza_000000_s8_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.020876782
202252-18-31_Aphidoletes_aphidimyza_000001_s1_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0061220736
202252-18-31_Aphidoletes_aphidimyza_000003_s1_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0052004363
202252-18-31_Aphidoletes_aphidimyza_000003_s2_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.004882906
202252-18-31_Aphidoletes_aphidimyza_000003_s3_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.004394162
202252-18-31_Aphidoletes_aphidimyza_000003_s4_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0063999323
202252-18-31_Aphidoletes_aphidimyza_000004_s1_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.013826898
202252-18-31_Aphidoletes_aphidimyza_000004_s2_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.006716385
202252-18-31_Aphidoletes_aphidimyza_000004_s3_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0052073863
202252-18-31_Aphidoletes_aphidimyza_000004_s4_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0071816775
202252-18-31_Aphidoletes_aphidimyza_000004_s5_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0045880796
202252-18-31_Aphidoletes_aphidimyza_000004_s6_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.0073384675
202252-18-31_Aphidoletes_aphidimyza_000004_s7_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.005219152
202252-18-31_Aphidoletes_aphidimyza_000005_s1_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.005801408
202252-18-31_Aphidoletes_aphidimyza_000005_s2_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.010680854
202252-18-31_Aphidoletes_aphidimyza_000005_s3_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.008157696
202252-18-31_Aphidoletes_aphidimyza_000005_s4_ch0.wav,2022/05/02,18:31,Aphidoletes aphidimyza,2.5,16000,0.005992129
